Player Name,Wins 2024-25,Wins 2025-26,Total Wins
"Betkowski, Francis G",10,4,14
"Krishnan, Arvin",11,1,12
"Zhao, Qianzhi",6,3,9
"Sargunar, Tarun",8,0,8
"Fantini, Garret",8,0,8
"Jaising, Aaryaman",6,1,7
"Jiang, Henry",7,0,7
"Schinaman, Kai Thomas",6,0,6
"Braun, Daniel",4,0,4
"Ibrahim, Dean",0,4,4
"Hsu, Wei-En",0,4,4
"Chandramouli, Advait",0,3,3
"Pyle, Ted",2,0,2
"Bond, Zadoc",1,0,1
"Mital, Nevin",0,1,1
"Li, Jet",0,0,0
"Levy, Ben",0,0,0
